task,model,N,d,n_draws,inflation_mean,ci_low,ci_high,sd
imagery_left_right_fist,riemann_ts_lr,109,2080,1,0.055383,nan,nan,
real_fists_feet,csp_lda,9,6,10,0.0226723,-0.00215152,0.0464218,0.0407456
real_fists_feet,csp_lda,18,6,10,-0.0029995,-0.010533,0.00421717,0.0124717
real_fists_feet,csp_lda,36,6,10,-0.0109284,-0.0298656,0.00777018,0.0324715
real_fists_feet,csp_lda,72,6,10,-0.0089232,-0.0191888,0.00167787,0.0182683
real_fists_feet,csp_lda,109,6,1,0.004894,nan,nan,
real_fists_feet,riemann_ts_lr,9,8,10,-0.0583421,-0.0737223,-0.0415147,0.0277928
real_fists_feet,riemann_ts_lr,9,32,10,0.167592,0.124041,0.206534,0.0722751
real_fists_feet,riemann_ts_lr,9,128,10,0.186799,0.15079,0.220759,0.0597823
real_fists_feet,riemann_ts_lr,9,2080,10,0.200494,0.169714,0.234228,0.0554359
real_fists_feet,riemann_ts_lr,18,8,10,-0.0358134,-0.0447416,-0.0264011,0.0152985
real_fists_feet,riemann_ts_lr,18,32,10,0.0934415,0.0710655,0.113817,0.0374016
real_fists_feet,riemann_ts_lr,18,128,10,0.164243,0.141845,0.18858,0.038315
real_fists_feet,riemann_ts_lr,18,512,10,0.190742,0.155695,0.242112,0.0765584
real_fists_feet,riemann_ts_lr,18,2080,10,0.170902,0.150651,0.190512,0.0347904
real_fists_feet,riemann_ts_lr,36,8,10,-0.0245888,-0.0348792,-0.0161219,0.0153
real_fists_feet,riemann_ts_lr,36,32,10,-0.0684589,-0.0787372,-0.059735,0.0157777
real_fists_feet,riemann_ts_lr,36,128,10,0.134743,0.121305,0.148292,0.0227452
real_fists_feet,riemann_ts_lr,36,512,10,0.126576,0.112385,0.141023,0.0248572
real_fists_feet,riemann_ts_lr,36,2080,10,0.130846,0.116054,0.145764,0.0258324
real_fists_feet,riemann_ts_lr,72,8,10,-0.0154857,-0.0211054,-0.00944629,0.00991596
real_fists_feet,riemann_ts_lr,72,32,10,-0.0350548,-0.0450596,-0.026723,0.0156623
real_fists_feet,riemann_ts_lr,72,128,10,0.115035,0.105657,0.124715,0.0161705
real_fists_feet,riemann_ts_lr,72,512,10,0.118114,0.112405,0.123622,0.0095003
real_fists_feet,riemann_ts_lr,72,2080,10,0.110534,0.104519,0.117047,0.0109668
real_fists_feet,riemann_ts_lr,109,8,1,-0.006357,nan,nan,
real_fists_feet,riemann_ts_lr,109,32,1,-0.017432,nan,nan,
real_fists_feet,riemann_ts_lr,109,128,1,0.084728,nan,nan,
real_fists_feet,riemann_ts_lr,109,512,1,0.114523,nan,nan,
real_fists_feet,riemann_ts_lr,109,2080,1,0.107829,nan,nan,
real_left_right_fist,csp_lda,9,6,10,-0.0098292,-0.0290673,0.00876787,0.0321452
real_left_right_fist,csp_lda,18,6,10,-0.0343206,-0.0538161,-0.016416,0.0318808
real_left_right_fist,csp_lda,36,6,10,-0.0152219,-0.0221869,-0.00914667,0.0111079
real_left_right_fist,csp_lda,72,6,10,-0.0235085,-0.0303998,-0.0157881,0.0125876
real_left_right_fist,csp_lda,109,6,1,-0.027809,nan,nan,
real_left_right_fist,riemann_ts_lr,9,8,10,-0.0780992,-0.0964664,-0.0580421,0.0323753
real_left_right_fist,riemann_ts_lr,9,32,10,0.0543983,0.0252769,0.0859178,0.0514448
real_left_right_fist,riemann_ts_lr,9,128,10,0.118228,0.0998493,0.140081,0.0329816
real_left_right_fist,riemann_ts_lr,9,2080,10,0.115081,0.0928248,0.138291,0.0372474
real_left_right_fist,riemann_ts_lr,18,8,10,-0.0609056,-0.0700907,-0.0520063,0.0151826
real_left_right_fist,riemann_ts_lr,18,32,10,-0.0206507,-0.0270005,-0.0132674,0.0117253
real_left_right_fist,riemann_ts_lr,18,128,10,0.106495,0.0928415,0.121462,0.0243194
real_left_right_fist,riemann_ts_lr,18,512,10,0.113903,0.0955327,0.131718,0.0314999
real_left_right_fist,riemann_ts_lr,18,2080,10,0.115408,0.0958612,0.133887,0.0334931
real_left_right_fist,riemann_ts_lr,36,8,10,-0.034719,-0.0397911,-0.0303312,0.0081573
real_left_right_fist,riemann_ts_lr,36,32,10,-0.0644871,-0.0691549,-0.0594963,0.0082514
real_left_right_fist,riemann_ts_lr,36,128,10,0.102153,0.0889911,0.112989,0.020759
real_left_right_fist,riemann_ts_lr,36,512,10,0.109336,0.0986516,0.119385,0.0180507
real_left_right_fist,riemann_ts_lr,36,2080,10,0.104027,0.0943325,0.113801,0.0167049
real_left_right_fist,riemann_ts_lr,72,8,10,-0.0192947,-0.0251339,-0.0140313,0.00963433
real_left_right_fist,riemann_ts_lr,72,32,10,-0.0353836,-0.0414857,-0.0288842,0.010594
real_left_right_fist,riemann_ts_lr,72,128,10,0.0720702,0.0671478,0.0772248,0.0086284
real_left_right_fist,riemann_ts_lr,72,512,10,0.0885654,0.0822711,0.0943717,0.0102739
real_left_right_fist,riemann_ts_lr,72,2080,10,0.0877569,0.0820072,0.0953159,0.011641
real_left_right_fist,riemann_ts_lr,109,8,1,-0.02197,nan,nan,
real_left_right_fist,riemann_ts_lr,109,32,1,-0.02472,nan,nan,
real_left_right_fist,riemann_ts_lr,109,128,1,0.044333,nan,nan,
real_left_right_fist,riemann_ts_lr,109,512,1,0.069168,nan,nan,
real_left_right_fist,riemann_ts_lr,109,2080,1,0.05546,nan,nan,
imagery_fists_feet,riemann_ts_lr,ols,intercept,195,-0.104268,-0.185571,-0.00877192,
imagery_fists_feet,riemann_ts_lr,ols,log2N,195,0.00490853,-0.0128849,0.020055,
imagery_fists_feet,riemann_ts_lr,ols,log2d,195,0.0255508,0.0135192,0.0374389,
