task,protocol,seed,fold,d,n_train,n_test,train_acc,test_acc,w_norm,explained_var
imagery_left_right_fist,trial_random,20260917,trial2,64,3266,1632,0.570729,0.514093,0.466718,0.88924
imagery_left_right_fist,trial_random,20260917,trial2,128,3266,1632,0.670545,0.620098,3.83115,0.924952
imagery_left_right_fist,trial_random,20260917,trial2,256,3266,1632,0.751072,0.673407,6.95862,0.942931
imagery_left_right_fist,trial_random,20260917,trial2,512,3266,1632,0.780772,0.666667,9.66965,0.963792
imagery_left_right_fist,trial_random,20260917,trial2,1024,3266,1632,0.85395,0.64951,16.3915,0.986449
imagery_left_right_fist,trial_random,20260917,trial2,2080,3266,1632,0.951317,0.639706,22.7909,1
imagery_left_right_fist,trial_random,20260918,trial0,2,3265,1633,0.510567,0.487446,0.00674615,0.629403
imagery_left_right_fist,trial_random,20260918,trial0,4,3265,1633,0.517611,0.482547,0.0303927,0.661879
imagery_left_right_fist,trial_random,20260918,trial0,8,3265,1633,0.525268,0.50398,0.0656224,0.706775
imagery_left_right_fist,trial_random,20260918,trial0,16,3265,1633,0.535681,0.501531,0.114227,0.763823
imagery_left_right_fist,trial_random,20260918,trial0,32,3265,1633,0.546401,0.494182,0.249361,0.828084
imagery_left_right_fist,trial_random,20260918,trial0,64,3265,1633,0.567228,0.513166,0.573702,0.888219
imagery_left_right_fist,trial_random,20260918,trial0,128,3265,1633,0.670138,0.640539,3.64166,0.924225
imagery_left_right_fist,trial_random,20260918,trial0,256,3265,1633,0.747626,0.680343,6.94313,0.942355
imagery_left_right_fist,trial_random,20260918,trial0,512,3265,1633,0.79173,0.683405,9.94146,0.963424
imagery_left_right_fist,trial_random,20260918,trial0,1024,3265,1633,0.846861,0.662584,15.5704,0.986318
imagery_left_right_fist,trial_random,20260918,trial0,2080,3265,1633,0.947933,0.653399,22.6794,1
imagery_left_right_fist,trial_random,20260918,trial1,2,3265,1633,0.503522,0.501531,0.00589043,0.636323
imagery_left_right_fist,trial_random,20260918,trial1,4,3265,1633,0.509342,0.499694,0.0177963,0.668889
imagery_left_right_fist,trial_random,20260918,trial1,8,3265,1633,0.511485,0.477648,0.0725764,0.712775
imagery_left_right_fist,trial_random,20260918,trial1,16,3265,1633,0.537213,0.512554,0.130916,0.768986
