dataset,task,model,protocol,n_subjects,n_seeds,mean_acc,ci_low,ci_high,sd_subjects,sd_across_seeds
eegbci,real_fists_feet,shallow_fbcsp_globalscale,subject_disjoint,109,1,0.719969,0.692222,0.748881,0.145639,
eegbci,real_fists_feet,shallow_fbcsp_globalscale,trial_random,109,1,0.7687,0.744553,0.794537,0.130038,
eegbci,real_left_right_fist,csp_lda,run_disjoint,109,1,0.589439,0.573395,0.604537,0.0864847,
eegbci,real_left_right_fist,csp_lda,subject_disjoint,109,5,0.580865,0.5682,0.593669,0.0721106,0.00782545
eegbci,real_left_right_fist,csp_lda,trial_random,109,5,0.554777,0.543482,0.566095,0.0606296,0.0046856
eegbci,real_left_right_fist,csp_lda,within_subject,109,1,0.653327,0.63128,0.677334,0.124898,
eegbci,real_left_right_fist,eegnet_v4_globalscale,run_disjoint,109,1,0.805866,0.786797,0.824679,0.104042,
eegbci,real_left_right_fist,eegnet_v4_globalscale,subject_disjoint,109,1,0.79265,0.771303,0.815464,0.121719,
eegbci,real_left_right_fist,eegnet_v4_globalscale,trial_random,109,1,0.805556,0.784919,0.825269,0.108556,
eegbci,real_left_right_fist,riemann_ts_lr,run_disjoint,109,1,0.710297,0.690284,0.729261,0.108074,
eegbci,real_left_right_fist,riemann_ts_lr,subject_disjoint,109,5,0.640728,0.62224,0.658957,0.0971262,0.00650956
eegbci,real_left_right_fist,riemann_ts_lr,trial_random,109,5,0.712923,0.69305,0.731729,0.106816,0.00862777
eegbci,real_left_right_fist,riemann_ts_lr,within_subject,109,1,0.694407,0.672535,0.7179,0.121037,
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,run_disjoint,109,1,0.734114,0.713856,0.754504,0.107049,
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,subject_disjoint,109,1,0.72646,0.703175,0.748555,0.118058,
eegbci,real_left_right_fist,shallow_fbcsp_globalscale,trial_random,109,1,0.712485,0.693202,0.731987,0.104718,
