task,d,acc_trial_random,acc_trial_random_ci_low,acc_trial_random_ci_high,acc_run_disjoint,acc_run_disjoint_ci_low,acc_run_disjoint_ci_high,acc_subject_disjoint,acc_subject_disjoint_ci_low,acc_subject_disjoint_ci_high,d12_mean,d12_ci_low,d12_ci_high,d12_p,d02_mean,d02_ci_low,d02_ci_high,d02_p,n
paradigm_mean,16.0,0.511965,0.507342,0.51663,0.527582,0.521929,0.533709,0.528796,0.523915,0.533959,-0.00121359,-0.0058935,0.00323031,0.635809,-0.0168314,-0.0206627,-0.012681,1.03454e-12,109
paradigm_mean,32.0,0.52317,0.517209,0.52961,0.546358,0.538405,0.554689,0.547344,0.540687,0.554467,-0.000985714,-0.0069915,0.00506853,0.389914,-0.0241738,-0.0287979,-0.0194679,1.91229e-14,109
paradigm_mean,64.0,0.551589,0.540589,0.563899,0.582997,0.571359,0.595843,0.579665,0.569549,0.590463,0.00333226,-0.00389447,0.0107845,0.843027,-0.0280762,-0.0345539,-0.0214146,7.91197e-12,109
paradigm_mean,128.0,0.677975,0.657458,0.699562,0.6928,0.673602,0.713536,0.633141,0.61694,0.650426,0.0596587,0.0502292,0.0692731,1.89802e-17,0.0448336,0.0352065,0.0545002,6.80741e-13,109
paradigm_mean,256.0,0.711372,0.691217,0.731808,0.717367,0.698603,0.736663,0.637331,0.62141,0.653797,0.080036,0.0701494,0.090178,2.22199e-19,0.0740418,0.0633954,0.085654,2.34766e-19,109
paradigm_mean,512.0,0.710108,0.690479,0.730568,0.717178,0.698749,0.736626,0.63414,0.617374,0.650072,0.0830385,0.0734401,0.0926736,1.50957e-19,0.0759682,0.0659114,0.0869636,3.44829e-19,109
paradigm_mean,1024.0,0.698989,0.680374,0.71796,0.70719,0.689945,0.725221,0.628602,0.612824,0.644305,0.0785885,0.0685,0.089067,2.69374e-19,0.0703873,0.0600821,0.0811013,3.21962e-19,109
paradigm_mean,2080.0,0.685487,0.668108,0.703278,0.688173,0.670661,0.705511,0.620273,0.605936,0.634592,0.0679,0.0579289,0.0774284,4.9199e-19,0.0652141,0.055831,0.0744755,6.81975e-19,109
paradigm_mean,spearman_d12_vs_x,,,,,,,,,,0.8,,,0.00311043,,,,,11
real_fists_feet,2.0,0.504063,0.498164,0.510485,0.509724,0.500422,0.519375,0.507931,0.500006,0.516389,0.00179272,-0.0028262,0.00628675,0.696312,-0.0038679,-0.00911536,0.00105085,0.168262,109
real_fists_feet,4.0,0.510428,0.502595,0.519092,0.513302,0.503716,0.523206,0.518889,0.51164,0.526381,-0.00558746,-0.0126918,0.0014306,0.202089,-0.0084612,-0.0143911,-0.0025325,0.00264345,109
real_fists_feet,8.0,0.510922,0.50346,0.518647,0.522672,0.510418,0.53547,0.520137,0.511791,0.528689,0.00253537,-0.00583348,0.0115838,0.551989,-0.00921488,-0.0152232,-0.00311556,0.00542999,109
real_fists_feet,16.0,0.519075,0.510791,0.528141,0.535146,0.523467,0.547919,0.530267,0.520386,0.54103,0.00487853,-0.00419353,0.0153113,0.717335,-0.0111923,-0.0185788,-0.00322305,0.000930793,109
