dataset,task,model,preproc,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,1,288,0.739583
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,2,288,0.559028
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,3,288,0.868056
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,4,288,0.652778
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,5,288,0.559028
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,6,288,0.642361
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,7,288,0.555556
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,8,288,0.875
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260916,9,288,0.857639
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,1,288,0.798611
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,2,288,0.597222
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,3,288,0.895833
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,4,288,0.649306
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,5,288,0.541667
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,6,288,0.663194
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,7,288,0.579861
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,8,288,0.923611
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260917,9,288,0.829861
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,1,288,0.819444
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,2,288,0.607639
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,3,288,0.9375
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,4,288,0.708333
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,5,288,0.576389
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,6,288,0.704861
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,7,288,0.583333
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,8,288,0.930556
bci2a,bci2a_left_right,eegnet_v4,ztrial,run_disjoint,20260918,9,288,0.868056
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,1,288,0.763889
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,2,288,0.552083
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,3,288,0.913194
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,4,288,0.684028
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,5,288,0.520833
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,6,288,0.725694
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,7,288,0.586806
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,8,288,0.920139
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,9,288,0.861111
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,1,288,0.649306
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,2,288,0.527778
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,3,288,0.697917
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,4,288,0.541667
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,5,288,0.513889
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,6,288,0.649306
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,7,288,0.538194
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,8,288,0.684028
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,9,288,0.586806
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,1,288,0.822917
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,2,288,0.5625
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,3,288,0.934028
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,4,288,0.732639
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,5,288,0.53125
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,6,288,0.680556
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,7,288,0.579861
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,8,288,0.944444
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,9,288,0.861111
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,1,288,0.576389
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,2,288,0.513889
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,3,288,0.829861
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,4,288,0.586806
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,5,288,0.496528
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,6,288,0.697917
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,7,288,0.541667
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,8,288,0.809028
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,9,288,0.65625
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,1,288,0.697917
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,2,288,0.548611
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,3,288,0.923611
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,4,288,0.649306
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,5,288,0.513889
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,6,288,0.59375
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,7,288,0.541667
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,8,288,0.875
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,9,288,0.743056
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,1,288,0.715278
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,2,288,0.506944
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,3,288,0.489583
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,4,288,0.600694
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,5,288,0.506944
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,6,288,0.572917
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,7,288,0.59375
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,8,288,0.503472
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260918,9,288,0.694444
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,1,288,0.774306
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,2,288,0.597222
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,3,288,0.829861
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,4,288,0.597222
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,5,288,0.534722
bci2a,bci2a_left_right,eegnet_v4,ztrial,subject_disjoint_5,20260916,6,288,0.638889
