task,clf,protocol,seed,fold,n_train,n_test,train_acc,test_acc
imagery_left_right_fist,lr,trial_random,20260920,trial0,3265,1633,0.946708,0.651562
imagery_left_right_fist,slda,trial_random,20260920,trial0,3265,1633,0.913936,0.620943
imagery_left_right_fist,linsvm,trial_random,20260920,trial0,3265,1633,0.998775,0.614207
imagery_left_right_fist,ridge,trial_random,20260920,trial0,3265,1633,0.946095,0.605021
imagery_left_right_fist,knn,trial_random,20260920,trial0,3265,1633,0.70781,0.468463
imagery_left_right_fist,mdm,trial_random,20260920,trial0,3265,1633,0.513629,0.495407
imagery_left_right_fist,lr,trial_random,20260920,trial1,3265,1633,0.948239,0.641151
imagery_left_right_fist,slda,trial_random,20260920,trial1,3265,1633,0.909648,0.621555
imagery_left_right_fist,linsvm,trial_random,20260920,trial1,3265,1633,0.999081,0.620943
imagery_left_right_fist,ridge,trial_random,20260920,trial1,3265,1633,0.942726,0.598898
imagery_left_right_fist,knn,trial_random,20260920,trial1,3265,1633,0.725268,0.484997
imagery_left_right_fist,mdm,trial_random,20260920,trial1,3265,1633,0.511485,0.521127
imagery_left_right_fist,lr,trial_random,20260920,trial2,3266,1632,0.945805,0.64277
imagery_left_right_fist,slda,trial_random,20260920,trial2,3266,1632,0.912125,0.620711
imagery_left_right_fist,linsvm,trial_random,20260920,trial2,3266,1632,0.999694,0.61826
imagery_left_right_fist,ridge,trial_random,20260920,trial2,3266,1632,0.943968,0.598652
imagery_left_right_fist,knn,trial_random,20260920,trial2,3266,1632,0.699939,0.49326
imagery_left_right_fist,mdm,trial_random,20260920,trial2,3266,1632,0.524801,0.506127
imagery_left_right_fist,lr,run_disjoint,20260916,run0,3262,1636,0.952177,0.642421
imagery_left_right_fist,slda,run_disjoint,20260916,run0,3262,1636,0.916309,0.622249
imagery_left_right_fist,linsvm,run_disjoint,20260916,run0,3262,1636,0.999693,0.608191
imagery_left_right_fist,ridge,run_disjoint,20260916,run0,3262,1636,0.950644,0.595966
imagery_left_right_fist,knn,run_disjoint,20260916,run0,3262,1636,0.731453,0.581296
imagery_left_right_fist,mdm,run_disjoint,20260916,run0,3262,1636,0.511036,0.507946
imagery_left_right_fist,lr,run_disjoint,20260916,run1,3269,1629,0.944325,0.655617
imagery_left_right_fist,slda,run_disjoint,20260916,run1,3269,1629,0.91863,0.619398
imagery_left_right_fist,linsvm,run_disjoint,20260916,run1,3269,1629,0.996941,0.616329
imagery_left_right_fist,ridge,run_disjoint,20260916,run1,3269,1629,0.946161,0.597299
imagery_left_right_fist,knn,run_disjoint,20260916,run1,3269,1629,0.725298,0.586249
imagery_left_right_fist,mdm,run_disjoint,20260916,run1,3269,1629,0.512083,0.514426
imagery_left_right_fist,lr,run_disjoint,20260916,run2,3265,1633,0.949464,0.661359
imagery_left_right_fist,slda,run_disjoint,20260916,run2,3265,1633,0.910873,0.630741
imagery_left_right_fist,linsvm,run_disjoint,20260916,run2,3265,1633,0.998162,0.63564
imagery_left_right_fist,ridge,run_disjoint,20260916,run2,3265,1633,0.944257,0.61237
imagery_left_right_fist,knn,run_disjoint,20260916,run2,3265,1633,0.726493,0.571953
imagery_left_right_fist,mdm,run_disjoint,20260916,run2,3265,1633,0.512711,0.514391
imagery_left_right_fist,lr,subject_disjoint,20260916,subj0,3242,1656,0.947563,0.610507
imagery_left_right_fist,slda,subject_disjoint,20260916,subj0,3242,1656,0.914559,0.591184
imagery_left_right_fist,linsvm,subject_disjoint,20260916,subj0,3242,1656,0.998458,0.573671
imagery_left_right_fist,ridge,subject_disjoint,20260916,subj0,3242,1656,0.942628,0.573671
