task,clf,contrast,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm
imagery_left_right_fist,slda,subject_overlap_component,109,0.624207,0.592508,0.0316985,0.0174532,0.046224,1660.5,5.29682e-05,9.999e-05,71,38,0.000529682
imagery_left_right_fist,slda,delta_leak_original_definition,109,0.618801,0.592508,0.026293,0.0155847,0.0374999,1553.5,1.2677e-05,9.999e-05,72,37,0.000152124
imagery_left_right_fist,slda,run_temporal_component,109,0.618801,0.624207,-0.00540553,-0.0162982,0.00603778,2774,0.499229,0.342466,53,56,1
paradigm_mean,knn,subject_overlap_component,109,0.629247,0.522207,0.107039,0.092896,0.122113,69,8.47476e-19,9.999e-05,104,5,1.27121e-17
paradigm_mean,knn,delta_leak_original_definition,109,0.540642,0.522207,0.018435,0.0033433,0.0348662,2436.5,0.0898776,0.019898,57,52,0.234689
paradigm_mean,knn,run_temporal_component,109,0.540642,0.629247,-0.0886042,-0.0964325,-0.0802131,17,2.04549e-19,9.999e-05,2,107,3.68189e-18
paradigm_mean,linsvm,subject_overlap_component,109,0.658534,0.601212,0.0573214,0.0486841,0.0661253,207,3.27311e-17,9.999e-05,100,9,4.25505e-16
paradigm_mean,linsvm,delta_leak_original_definition,109,0.653294,0.601212,0.0520819,0.044131,0.0603038,70,8.70753e-19,9.999e-05,103,6,1.27121e-17
paradigm_mean,linsvm,run_temporal_component,109,0.653294,0.658534,-0.00523951,-0.0105965,0.000214133,2356.5,0.0526347,0.0609939,46,63,0.210539
paradigm_mean,lr,subject_overlap_component,109,0.688173,0.620273,0.0679,0.0579289,0.0774284,49,4.9199e-19,9.999e-05,106,3,8.36383e-18
paradigm_mean,lr,delta_leak_original_definition,109,0.685487,0.620273,0.0652141,0.055831,0.0744755,61,6.81975e-19,9.999e-05,104,5,1.09116e-17
paradigm_mean,lr,run_temporal_component,109,0.685487,0.688173,-0.00268591,-0.00775294,0.00178612,2628,0.263954,0.250575,52,57,0.263954
paradigm_mean,mdm,subject_overlap_component,109,0.548346,0.53819,0.0101562,0.00476669,0.0153656,1973,0.00195274,0.00049995,66,43,0.0117164
paradigm_mean,mdm,delta_leak_original_definition,109,0.501959,0.53819,-0.0362313,-0.0418918,-0.0305542,220.5,4.63646e-17,9.999e-05,10,99,5.56375e-16
paradigm_mean,mdm,run_temporal_component,109,0.501959,0.548346,-0.0463874,-0.0543447,-0.0382211,267,1.51913e-16,9.999e-05,14,95,1.67104e-15
paradigm_mean,ridge,subject_overlap_component,109,0.63626,0.589536,0.0467244,0.0386058,0.0548808,295,3.0752e-16,9.999e-05,94,15,3.0752e-15
paradigm_mean,ridge,delta_leak_original_definition,109,0.630292,0.589536,0.0407559,0.0328762,0.0485461,313.5,4.88074e-16,9.999e-05,93,16,3.90459e-15
paradigm_mean,ridge,run_temporal_component,109,0.630292,0.63626,-0.00596853,-0.0115883,-0.000432609,2415,0.0782298,0.0431957,47,62,0.234689
paradigm_mean,slda,subject_overlap_component,109,0.654742,0.607324,0.0474183,0.0387261,0.0563725,306,4.0494e-16,9.999e-05,96,13,3.64446e-15
paradigm_mean,slda,delta_leak_original_definition,109,0.645705,0.607324,0.0383817,0.0302076,0.0465157,402,4.26608e-15,9.999e-05,89,20,2.98625e-14
paradigm_mean,slda,run_temporal_component,109,0.645705,0.654742,-0.00903655,-0.0141616,-0.0038664,2024.5,0.0032649,0.00079992,44,65,0.0163245
real_fists_feet,knn,subject_overlap_component,109,0.704375,0.53964,0.164735,0.138357,0.191587,272,1.7239e-16,9.999e-05,96,13,2.75824e-15
real_fists_feet,knn,delta_leak_original_definition,109,0.636454,0.53964,0.096814,0.0669928,0.12679,1255,1.37884e-07,9.999e-05,75,34,8.27305e-07
real_fists_feet,knn,run_temporal_component,109,0.636454,0.704375,-0.0679205,-0.0840438,-0.0523842,697.5,3.56299e-12,9.999e-05,20,89,3.20669e-11
real_fists_feet,linsvm,subject_overlap_component,109,0.715015,0.63552,0.0794944,0.0641548,0.0952667,477.5,2.56378e-14,9.999e-05,92,17,3.07654e-13
real_fists_feet,linsvm,delta_leak_original_definition,109,0.717112,0.63552,0.0815911,0.0671103,0.0956214,234,1.01093e-16,9.999e-05,96,12,1.71858e-15
real_fists_feet,linsvm,run_temporal_component,109,0.717112,0.715015,0.00209678,-0.00925215,0.0126966,2804,0.558544,0.713529,59,50,1
real_fists_feet,lr,subject_overlap_component,109,0.74506,0.653214,0.0918462,0.0742542,0.110033,346,1.09095e-15,9.999e-05,94,15,1.52733e-14
real_fists_feet,lr,delta_leak_original_definition,109,0.751188,0.653214,0.0979744,0.0810586,0.114266,174.5,1.40548e-17,9.999e-05,97,12,2.52986e-16
real_fists_feet,lr,run_temporal_component,109,0.751188,0.74506,0.00612823,-0.00285636,0.0150988,2640.5,0.280449,0.20088,54,55,1
real_fists_feet,mdm,subject_overlap_component,109,0.582024,0.553444,0.0285803,0.0147212,0.0423672,1646.5,0.000689828,0.00019998,64,39,0.00344914
real_fists_feet,mdm,delta_leak_original_definition,109,0.513638,0.553444,-0.0398054,-0.0511703,-0.0289454,977.5,1.69524e-09,9.999e-05,29,79,1.18667e-08
real_fists_feet,mdm,run_temporal_component,109,0.513638,0.582024,-0.0683857,-0.0860531,-0.0502997,788,2.39068e-11,9.999e-05,25,84,1.91254e-10
real_fists_feet,ridge,subject_overlap_component,109,0.679959,0.613816,0.0661428,0.0525805,0.0796826,582,2.82092e-13,9.999e-05,85,24,3.10301e-12
real_fists_feet,ridge,delta_leak_original_definition,109,0.6805,0.613816,0.0666835,0.0539334,0.0788135,341,9.64066e-16,9.999e-05,91,18,1.4461e-14
real_fists_feet,ridge,run_temporal_component,109,0.6805,0.679959,0.000540772,-0.00938744,0.0102069,2921,0.946236,0.923208,49,59,1
real_fists_feet,slda,subject_overlap_component,109,0.698044,0.634246,0.0637973,0.0498301,0.0784556,645,1.14172e-12,9.999e-05,90,19,1.14172e-11
real_fists_feet,slda,delta_leak_original_definition,109,0.69937,0.634246,0.0651237,0.051516,0.0793237,470.5,2.17576e-14,9.999e-05,93,16,2.82848e-13
real_fists_feet,slda,run_temporal_component,109,0.69937,0.698044,0.00132641,-0.00738003,0.0102181,2899,0.892716,0.768923,48,60,1
real_left_right_fist,knn,subject_overlap_component,109,0.597635,0.518518,0.0791169,0.0605271,0.0984029,736.5,8.16703e-12,9.999e-05,84,25,9.80043e-11
real_left_right_fist,knn,delta_leak_original_definition,109,0.499958,0.518518,-0.0185603,-0.0384215,0.00245035,2072.5,0.00762539,0.0729927,39,69,0.0457523
real_left_right_fist,knn,run_temporal_component,109,0.499958,0.597635,-0.0976772,-0.112594,-0.082001,291.5,2.81636e-16,9.999e-05,12,97,4.78781e-15
real_left_right_fist,linsvm,subject_overlap_component,109,0.678566,0.619545,0.0590208,0.0439799,0.0739624,828,9.00321e-11,9.999e-05,87,21,9.00321e-10
real_left_right_fist,linsvm,delta_leak_original_definition,109,0.67808,0.619545,0.0585348,0.0461842,0.072355,555,1.53137e-13,9.999e-05,90,19,2.14392e-12
real_left_right_fist,linsvm,run_temporal_component,109,0.67808,0.678566,-0.000486035,-0.0113341,0.0107673,2877.5,0.840879,0.931907,53,55,1
real_left_right_fist,lr,subject_overlap_component,109,0.710297,0.640728,0.0695694,0.0537836,0.0856455,668.5,1.90613e-12,9.999e-05,89,20,2.47797e-11
real_left_right_fist,lr,delta_leak_original_definition,109,0.712923,0.640728,0.0721944,0.0575603,0.0879444,357,1.42851e-15,9.999e-05,94,15,2.28562e-14
real_left_right_fist,lr,run_temporal_component,109,0.712923,0.710297,0.00262508,-0.00706385,0.0119365,2721.5,0.497178,0.60464,52,56,1
real_left_right_fist,mdm,subject_overlap_component,109,0.567144,0.558347,0.0087967,-0.00352233,0.0208341,2413,0.581972,0.167283,46,55,1
real_left_right_fist,mdm,delta_leak_original_definition,109,0.493466,0.558347,-0.0648812,-0.0753817,-0.0545964,185.5,1.87229e-17,9.999e-05,10,99,3.37012e-16
real_left_right_fist,mdm,run_temporal_component,109,0.493466,0.567144,-0.0736779,-0.0882639,-0.0585256,407,7.64998e-15,9.999e-05,19,89,1.1475e-13
real_left_right_fist,ridge,subject_overlap_component,109,0.657102,0.608424,0.0486779,0.0354525,0.0612535,896,3.50957e-10,9.999e-05,81,27,3.15861e-09
real_left_right_fist,ridge,delta_leak_original_definition,109,0.651325,0.608424,0.0429015,0.0312027,0.0556555,824,4.9926e-11,9.999e-05,84,25,5.49186e-10
real_left_right_fist,ridge,run_temporal_component,109,0.651325,0.657102,-0.00577643,-0.0160871,0.00481632,2676.5,0.331808,0.29697,50,59,1
real_left_right_fist,slda,subject_overlap_component,109,0.679906,0.625917,0.0539888,0.0391481,0.0695295,988,2.06773e-09,9.999e-05,80,28,1.44741e-08
real_left_right_fist,slda,delta_leak_original_definition,109,0.666632,0.625917,0.0407148,0.0290015,0.0534279,941.5,8.51838e-10,9.999e-05,85,23,6.8147e-09
real_left_right_fist,slda,run_temporal_component,109,0.666632,0.679906,-0.0132739,-0.0234987,-0.00325609,2252.5,0.0243004,0.0131987,46,63,0.121502
