task,model,width,n_params,acc_P0,acc_P2,d02_mean,d02_ci_low,d02_ci_high,d02_p,train_test_gap_P0,train_test_gap_P2,n
imagery_left_right_fist,shallow_fbcsp,80,417762,0.723565,0.717119,0.00644573,-0.00828704,0.0211184,0.322076,0.223663,0.233779,109
imagery_left_right_fist,shallow_fbcsp,spearman_d02_vs_width,,,,-0.1,,,0.872889,,,5
paradigm_mean,shallow_fbcsp,5,2112,0.696512,0.661463,0.0350487,0.02647,0.0436373,5.19867e-11,0.0874999,0.0941179,109
paradigm_mean,shallow_fbcsp,10,7422,0.716688,0.693397,0.0232905,0.0145976,0.0325297,7.00208e-06,0.136749,0.127285,109
paradigm_mean,shallow_fbcsp,20,27642,0.70545,0.689609,0.0158408,0.00777277,0.0239986,0.000471324,0.163622,0.168169,109
paradigm_mean,shallow_fbcsp,40,106482,0.706068,0.690616,0.0154517,0.00865514,0.0223506,0.000125344,0.185881,0.191299,109
paradigm_mean,shallow_fbcsp,80,417762,0.702996,0.686716,0.0162799,0.00838714,0.0243773,0.000157331,0.235023,0.215798,109
paradigm_mean,shallow_fbcsp,spearman_d02_vs_width,,,,-0.7,,,0.18812,,,5
real_fists_feet,shallow_fbcsp,5,2112,0.727879,0.67039,0.0574883,0.0387936,0.075468,7.72495e-08,0.085155,0.128753,109
real_fists_feet,shallow_fbcsp,10,7422,0.737603,0.700061,0.0375414,0.0179809,0.0579745,0.000856032,0.12769,0.156157,109
real_fists_feet,shallow_fbcsp,20,27642,0.737386,0.697626,0.0397602,0.0222174,0.0585408,0.00017172,0.155959,0.17789,109
real_fists_feet,shallow_fbcsp,40,106482,0.727457,0.695091,0.0323662,0.0182905,0.0471441,6.67331e-05,0.178016,0.204443,109
real_fists_feet,shallow_fbcsp,80,417762,0.723147,0.690229,0.0329183,0.0145257,0.0509798,0.00118616,0.215211,0.208558,109
real_fists_feet,shallow_fbcsp,spearman_d02_vs_width,,,,-0.8,,,0.104088,,,5
real_left_right_fist,shallow_fbcsp,5,2112,0.710563,0.684173,0.02639,0.011246,0.0415987,0.000887176,0.0809713,0.0739523,109
real_left_right_fist,shallow_fbcsp,10,7422,0.721901,0.707531,0.0143702,-0.000628725,0.0296027,0.12633,0.124159,0.102714,109
real_left_right_fist,shallow_fbcsp,20,27642,0.708989,0.712514,-0.0035251,-0.0197645,0.01189,0.673543,0.150498,0.173282,109
real_left_right_fist,shallow_fbcsp,40,106482,0.714378,0.713224,0.00115371,-0.0156725,0.0190564,0.962093,0.182363,0.188577,109
real_left_right_fist,shallow_fbcsp,80,417762,0.711451,0.712106,-0.000655752,-0.0151627,0.0136028,0.849423,0.23596,0.213246,109
real_left_right_fist,shallow_fbcsp,spearman_d02_vs_width,,,,-0.7,,,0.18812,,,5
