task,protocol,seed,fold,C,n_train,n_test,train_acc,test_acc,w_norm,n_iter
imagery_left_right_fist,trial_random,20260918,trial1,100.0,3265,1633,1,0.606859,126.395,528
imagery_left_right_fist,trial_random,20260918,trial1,1000.0,3265,1633,1,0.634415,243.253,210
imagery_left_right_fist,trial_random,20260918,trial2,0.0001,3266,1632,0.56583,0.537377,0.0303828,11
imagery_left_right_fist,trial_random,20260918,trial2,0.001,3266,1632,0.64207,0.583946,0.250063,18
imagery_left_right_fist,trial_random,20260918,trial2,0.01,3266,1632,0.743111,0.658088,1.62041,45
imagery_left_right_fist,trial_random,20260918,trial2,0.1,3266,1632,0.859461,0.683211,6.99587,125
imagery_left_right_fist,trial_random,20260918,trial2,1.0,3266,1632,0.952235,0.656863,23.0674,234
imagery_left_right_fist,trial_random,20260918,trial2,10.0,3266,1632,0.999694,0.631127,63.405,417
imagery_left_right_fist,trial_random,20260918,trial2,100.0,3266,1632,1,0.631127,127.4,484
imagery_left_right_fist,trial_random,20260918,trial2,1000.0,3266,1632,1,0.634804,226.322,251
imagery_left_right_fist,trial_random,20260919,trial0,0.0001,3265,1633,0.579479,0.541947,0.0309577,10
imagery_left_right_fist,trial_random,20260919,trial0,0.001,3265,1633,0.649005,0.563993,0.253401,15
imagery_left_right_fist,trial_random,20260919,trial0,0.01,3265,1633,0.764472,0.649724,1.63521,42
imagery_left_right_fist,trial_random,20260919,trial0,0.1,3265,1633,0.861256,0.670545,7.01906,106
imagery_left_right_fist,trial_random,20260919,trial0,1.0,3265,1633,0.950077,0.639927,22.8475,199
imagery_left_right_fist,trial_random,20260919,trial0,10.0,3265,1633,0.999694,0.620943,63.3907,401
imagery_left_right_fist,trial_random,20260919,trial0,100.0,3265,1633,1,0.610533,127.287,463
imagery_left_right_fist,trial_random,20260919,trial0,1000.0,3265,1633,1,0.623393,214.341,301
imagery_left_right_fist,trial_random,20260919,trial1,0.0001,3265,1633,0.591424,0.526026,0.0317978,10
imagery_left_right_fist,trial_random,20260919,trial1,0.001,3265,1633,0.652986,0.571341,0.261595,11
imagery_left_right_fist,trial_random,20260919,trial1,0.01,3265,1633,0.762021,0.617881,1.66432,32
imagery_left_right_fist,trial_random,20260919,trial1,0.1,3265,1633,0.858806,0.636865,6.99791,105
imagery_left_right_fist,trial_random,20260919,trial1,1.0,3265,1633,0.94732,0.617881,22.7621,229
imagery_left_right_fist,trial_random,20260919,trial1,10.0,3265,1633,0.999694,0.606246,63.1462,429
imagery_left_right_fist,trial_random,20260919,trial1,100.0,3265,1633,1,0.604409,127.036,451
imagery_left_right_fist,trial_random,20260919,trial1,1000.0,3265,1633,1,0.614207,249.354,168
imagery_left_right_fist,trial_random,20260919,trial2,0.0001,3266,1632,0.559706,0.506127,0.0308698,11
imagery_left_right_fist,trial_random,20260919,trial2,0.001,3266,1632,0.648806,0.571691,0.255974,14
imagery_left_right_fist,trial_random,20260919,trial2,0.01,3266,1632,0.739437,0.636642,1.60555,47
imagery_left_right_fist,trial_random,20260919,trial2,0.1,3266,1632,0.859461,0.679534,6.93836,113
imagery_left_right_fist,trial_random,20260919,trial2,1.0,3266,1632,0.945193,0.660539,22.5928,245
imagery_left_right_fist,trial_random,20260919,trial2,10.0,3266,1632,0.999081,0.629289,64.3455,466
imagery_left_right_fist,trial_random,20260919,trial2,100.0,3266,1632,1,0.622549,133.326,434
imagery_left_right_fist,trial_random,20260919,trial2,1000.0,3266,1632,1,0.640319,262.554,238
imagery_left_right_fist,trial_random,20260920,trial0,0.0001,3265,1633,0.572741,0.515003,0.0320114,11
imagery_left_right_fist,trial_random,20260920,trial0,0.001,3265,1633,0.653599,0.598285,0.25762,16
imagery_left_right_fist,trial_random,20260920,trial0,0.01,3265,1633,0.763247,0.652786,1.63347,34
imagery_left_right_fist,trial_random,20260920,trial0,0.1,3265,1633,0.863093,0.670545,6.97593,113
imagery_left_right_fist,trial_random,20260920,trial0,1.0,3265,1633,0.946708,0.651562,22.7704,266
imagery_left_right_fist,trial_random,20260920,trial0,10.0,3265,1633,0.999387,0.614819,63.9283,385
imagery_left_right_fist,trial_random,20260920,trial0,100.0,3265,1633,1,0.611145,130.35,467
imagery_left_right_fist,trial_random,20260920,trial0,1000.0,3265,1633,1,0.624617,223.28,275
imagery_left_right_fist,trial_random,20260920,trial1,0.0001,3265,1633,0.581011,0.520514,0.0308672,10
imagery_left_right_fist,trial_random,20260920,trial1,0.001,3265,1633,0.65023,0.570729,0.253968,10
imagery_left_right_fist,trial_random,20260920,trial1,0.01,3265,1633,0.748545,0.632578,1.63535,46
imagery_left_right_fist,trial_random,20260920,trial1,0.1,3265,1633,0.854824,0.661359,6.97471,90
imagery_left_right_fist,trial_random,20260920,trial1,1.0,3265,1633,0.948239,0.641151,22.6792,229
imagery_left_right_fist,trial_random,20260920,trial1,10.0,3265,1633,0.999081,0.625842,63.4681,491
imagery_left_right_fist,trial_random,20260920,trial1,100.0,3265,1633,1,0.621555,130.824,506
imagery_left_right_fist,trial_random,20260920,trial1,1000.0,3265,1633,1,0.630129,242.809,208
imagery_left_right_fist,trial_random,20260920,trial2,0.0001,3266,1632,0.587569,0.567402,0.0306545,9
imagery_left_right_fist,trial_random,20260920,trial2,0.001,3266,1632,0.650031,0.576593,0.251086,11
