task,protocol,seed,fold,metric,value,n,note
imagery_left_right_fist,trial_random,20260919,trial1,abs_cos_w_d_global,0.382453,109,
imagery_left_right_fist,trial_random,20260919,trial1,fraction_w_in_span_all_d_s,0.296373,109,
imagery_left_right_fist,trial_random,20260919,trial1,fraction_w_in_span_train_d_s,0.296373,109,
imagery_left_right_fist,trial_random,20260919,trial2,mean_abs_cos_w_d_s_train_subjects,0.102044,109,
imagery_left_right_fist,trial_random,20260919,trial2,mean_abs_cos_w_d_s_test_subjects,0.102044,109,
imagery_left_right_fist,trial_random,20260919,trial2,abs_cos_w_d_global,0.385394,109,
imagery_left_right_fist,trial_random,20260919,trial2,fraction_w_in_span_all_d_s,0.319203,109,
imagery_left_right_fist,trial_random,20260919,trial2,fraction_w_in_span_train_d_s,0.319203,109,
imagery_left_right_fist,trial_random,20260920,trial0,mean_abs_cos_w_d_s_train_subjects,0.101023,109,
imagery_left_right_fist,trial_random,20260920,trial0,mean_abs_cos_w_d_s_test_subjects,0.101023,109,
imagery_left_right_fist,trial_random,20260920,trial0,abs_cos_w_d_global,0.382538,109,
imagery_left_right_fist,trial_random,20260920,trial0,fraction_w_in_span_all_d_s,0.297738,109,
imagery_left_right_fist,trial_random,20260920,trial0,fraction_w_in_span_train_d_s,0.297738,109,
imagery_left_right_fist,trial_random,20260920,trial1,mean_abs_cos_w_d_s_train_subjects,0.102287,109,
imagery_left_right_fist,trial_random,20260920,trial1,mean_abs_cos_w_d_s_test_subjects,0.102287,109,
imagery_left_right_fist,trial_random,20260920,trial1,abs_cos_w_d_global,0.38791,109,
imagery_left_right_fist,trial_random,20260920,trial1,fraction_w_in_span_all_d_s,0.303651,109,
imagery_left_right_fist,trial_random,20260920,trial1,fraction_w_in_span_train_d_s,0.303651,109,
imagery_left_right_fist,trial_random,20260920,trial2,mean_abs_cos_w_d_s_train_subjects,0.103198,109,
imagery_left_right_fist,trial_random,20260920,trial2,mean_abs_cos_w_d_s_test_subjects,0.103198,109,
imagery_left_right_fist,trial_random,20260920,trial2,abs_cos_w_d_global,0.388879,109,
imagery_left_right_fist,trial_random,20260920,trial2,fraction_w_in_span_all_d_s,0.318943,109,
imagery_left_right_fist,trial_random,20260920,trial2,fraction_w_in_span_train_d_s,0.318943,109,
imagery_left_right_fist,subject_disjoint,20260916,subj0,mean_abs_cos_w_d_s_train_subjects,0.127454,72,
imagery_left_right_fist,subject_disjoint,20260916,subj0,mean_abs_cos_w_d_s_test_subjects,0.0599578,72,
imagery_left_right_fist,subject_disjoint,20260916,subj0,abs_cos_w_d_global,0.399465,72,
imagery_left_right_fist,subject_disjoint,20260916,subj0,fraction_w_in_span_all_d_s,0.453214,72,
imagery_left_right_fist,subject_disjoint,20260916,subj0,fraction_w_in_span_train_d_s,0.411173,72,
imagery_left_right_fist,subject_disjoint,20260916,subj1,mean_abs_cos_w_d_s_train_subjects,0.131452,73,
imagery_left_right_fist,subject_disjoint,20260916,subj1,mean_abs_cos_w_d_s_test_subjects,0.0597211,73,
imagery_left_right_fist,subject_disjoint,20260916,subj1,abs_cos_w_d_global,0.407667,73,
imagery_left_right_fist,subject_disjoint,20260916,subj1,fraction_w_in_span_all_d_s,0.479952,73,
imagery_left_right_fist,subject_disjoint,20260916,subj1,fraction_w_in_span_train_d_s,0.43148,73,
imagery_left_right_fist,subject_disjoint,20260916,subj2,mean_abs_cos_w_d_s_train_subjects,0.12445,73,
imagery_left_right_fist,subject_disjoint,20260916,subj2,mean_abs_cos_w_d_s_test_subjects,0.0641418,73,
imagery_left_right_fist,subject_disjoint,20260916,subj2,abs_cos_w_d_global,0.38651,73,
imagery_left_right_fist,subject_disjoint,20260916,subj2,fraction_w_in_span_all_d_s,0.436076,73,
imagery_left_right_fist,subject_disjoint,20260916,subj2,fraction_w_in_span_train_d_s,0.387633,73,
imagery_left_right_fist,subject_disjoint,20260917,subj0,mean_abs_cos_w_d_s_train_subjects,0.122844,72,
imagery_left_right_fist,subject_disjoint,20260917,subj0,mean_abs_cos_w_d_s_test_subjects,0.0659618,72,
imagery_left_right_fist,subject_disjoint,20260917,subj0,abs_cos_w_d_global,0.389698,72,
imagery_left_right_fist,subject_disjoint,20260917,subj0,fraction_w_in_span_all_d_s,0.467647,72,
imagery_left_right_fist,subject_disjoint,20260917,subj0,fraction_w_in_span_train_d_s,0.42137,72,
imagery_left_right_fist,subject_disjoint,20260917,subj1,mean_abs_cos_w_d_s_train_subjects,0.127915,73,
imagery_left_right_fist,subject_disjoint,20260917,subj1,mean_abs_cos_w_d_s_test_subjects,0.0527972,73,
imagery_left_right_fist,subject_disjoint,20260917,subj1,abs_cos_w_d_global,0.390447,73,
imagery_left_right_fist,subject_disjoint,20260917,subj1,fraction_w_in_span_all_d_s,0.460626,73,
imagery_left_right_fist,subject_disjoint,20260917,subj1,fraction_w_in_span_train_d_s,0.417435,73,
imagery_left_right_fist,subject_disjoint,20260917,subj2,mean_abs_cos_w_d_s_train_subjects,0.135049,73,
imagery_left_right_fist,subject_disjoint,20260917,subj2,mean_abs_cos_w_d_s_test_subjects,0.0605266,73,
imagery_left_right_fist,subject_disjoint,20260917,subj2,abs_cos_w_d_global,0.411567,73,
imagery_left_right_fist,subject_disjoint,20260917,subj2,fraction_w_in_span_all_d_s,0.430708,73,
imagery_left_right_fist,subject_disjoint,20260917,subj2,fraction_w_in_span_train_d_s,0.392389,73,
imagery_left_right_fist,subject_disjoint,20260918,subj0,mean_abs_cos_w_d_s_train_subjects,0.124872,72,
imagery_left_right_fist,subject_disjoint,20260918,subj0,mean_abs_cos_w_d_s_test_subjects,0.0669121,72,
imagery_left_right_fist,subject_disjoint,20260918,subj0,abs_cos_w_d_global,0.398337,72,
imagery_left_right_fist,subject_disjoint,20260918,subj0,fraction_w_in_span_all_d_s,0.448798,72,
imagery_left_right_fist,subject_disjoint,20260918,subj0,fraction_w_in_span_train_d_s,0.403899,72,
imagery_left_right_fist,subject_disjoint,20260918,subj1,mean_abs_cos_w_d_s_train_subjects,0.123122,73,
imagery_left_right_fist,subject_disjoint,20260918,subj1,mean_abs_cos_w_d_s_test_subjects,0.058969,73,
imagery_left_right_fist,subject_disjoint,20260918,subj1,abs_cos_w_d_global,0.382859,73,
imagery_left_right_fist,subject_disjoint,20260918,subj1,fraction_w_in_span_all_d_s,0.435554,73,
imagery_left_right_fist,subject_disjoint,20260918,subj1,fraction_w_in_span_train_d_s,0.387765,73,
imagery_left_right_fist,subject_disjoint,20260918,subj2,mean_abs_cos_w_d_s_train_subjects,0.133166,73,
imagery_left_right_fist,subject_disjoint,20260918,subj2,mean_abs_cos_w_d_s_test_subjects,0.0598274,73,
imagery_left_right_fist,subject_disjoint,20260918,subj2,abs_cos_w_d_global,0.406413,73,
imagery_left_right_fist,subject_disjoint,20260918,subj2,fraction_w_in_span_all_d_s,0.470113,73,
imagery_left_right_fist,subject_disjoint,20260918,subj2,fraction_w_in_span_train_d_s,0.415735,73,
imagery_left_right_fist,subject_disjoint,20260919,subj0,mean_abs_cos_w_d_s_train_subjects,0.129683,72,
imagery_left_right_fist,subject_disjoint,20260919,subj0,mean_abs_cos_w_d_s_test_subjects,0.0622083,72,
imagery_left_right_fist,subject_disjoint,20260919,subj0,abs_cos_w_d_global,0.396853,72,
imagery_left_right_fist,subject_disjoint,20260919,subj0,fraction_w_in_span_all_d_s,0.480202,72,
imagery_left_right_fist,subject_disjoint,20260919,subj0,fraction_w_in_span_train_d_s,0.425442,72,
imagery_left_right_fist,subject_disjoint,20260919,subj1,mean_abs_cos_w_d_s_train_subjects,0.127943,73,
imagery_left_right_fist,subject_disjoint,20260919,subj1,mean_abs_cos_w_d_s_test_subjects,0.0615354,73,
imagery_left_right_fist,subject_disjoint,20260919,subj1,abs_cos_w_d_global,0.399672,73,
imagery_left_right_fist,subject_disjoint,20260919,subj1,fraction_w_in_span_all_d_s,0.429378,73,
imagery_left_right_fist,subject_disjoint,20260919,subj1,fraction_w_in_span_train_d_s,0.377883,73,
imagery_left_right_fist,subject_disjoint,20260919,subj2,mean_abs_cos_w_d_s_train_subjects,0.125672,73,
imagery_left_right_fist,subject_disjoint,20260919,subj2,mean_abs_cos_w_d_s_test_subjects,0.0589862,73,
imagery_left_right_fist,subject_disjoint,20260919,subj2,abs_cos_w_d_global,0.393996,73,
imagery_left_right_fist,subject_disjoint,20260919,subj2,fraction_w_in_span_all_d_s,0.464093,73,
imagery_left_right_fist,subject_disjoint,20260919,subj2,fraction_w_in_span_train_d_s,0.413442,73,
imagery_left_right_fist,subject_disjoint,20260920,subj0,mean_abs_cos_w_d_s_train_subjects,0.125409,72,
imagery_left_right_fist,subject_disjoint,20260920,subj0,mean_abs_cos_w_d_s_test_subjects,0.0602017,72,
imagery_left_right_fist,subject_disjoint,20260920,subj0,abs_cos_w_d_global,0.389932,72,
imagery_left_right_fist,subject_disjoint,20260920,subj0,fraction_w_in_span_all_d_s,0.458476,72,
imagery_left_right_fist,subject_disjoint,20260920,subj0,fraction_w_in_span_train_d_s,0.413566,72,
imagery_left_right_fist,subject_disjoint,20260920,subj1,mean_abs_cos_w_d_s_train_subjects,0.131485,73,
imagery_left_right_fist,subject_disjoint,20260920,subj1,mean_abs_cos_w_d_s_test_subjects,0.0604066,73,
imagery_left_right_fist,subject_disjoint,20260920,subj1,abs_cos_w_d_global,0.404839,73,
imagery_left_right_fist,subject_disjoint,20260920,subj1,fraction_w_in_span_all_d_s,0.434995,73,
imagery_left_right_fist,subject_disjoint,20260920,subj1,fraction_w_in_span_train_d_s,0.394523,73,
imagery_left_right_fist,subject_disjoint,20260920,subj2,mean_abs_cos_w_d_s_train_subjects,0.124937,73,
imagery_left_right_fist,subject_disjoint,20260920,subj2,mean_abs_cos_w_d_s_test_subjects,0.0636695,73,
