task,model,k,draw,subject,n_test,accuracy
imagery_left_right_fist,csp_lda,4,0,23,15,0.6
imagery_left_right_fist,csp_lda,8,0,23,15,0.6
imagery_left_right_fist,csp_lda,16,0,23,15,0.6
imagery_left_right_fist,csp_lda,30,0,23,15,0.533333
imagery_left_right_fist,csp_lda,4,1,23,15,0.6
imagery_left_right_fist,csp_lda,8,1,23,15,0.6
imagery_left_right_fist,csp_lda,16,1,23,15,0.6
imagery_left_right_fist,csp_lda,30,1,23,15,0.533333
imagery_left_right_fist,csp_lda,4,2,23,15,0.6
imagery_left_right_fist,csp_lda,8,2,23,15,0.6
imagery_left_right_fist,csp_lda,16,2,23,15,0.6
imagery_left_right_fist,csp_lda,30,2,23,15,0.533333
imagery_left_right_fist,csp_lda,0,0,31,15,0.8
imagery_left_right_fist,csp_lda,4,0,31,15,0.8
imagery_left_right_fist,csp_lda,8,0,31,15,0.8
imagery_left_right_fist,csp_lda,16,0,31,15,0.8
imagery_left_right_fist,csp_lda,30,0,31,15,0.8
imagery_left_right_fist,csp_lda,4,1,31,15,0.8
imagery_left_right_fist,csp_lda,8,1,31,15,0.8
imagery_left_right_fist,csp_lda,16,1,31,15,0.8
imagery_left_right_fist,csp_lda,30,1,31,15,0.8
imagery_left_right_fist,csp_lda,4,2,31,15,0.8
imagery_left_right_fist,csp_lda,8,2,31,15,0.8
imagery_left_right_fist,csp_lda,16,2,31,15,0.8
imagery_left_right_fist,csp_lda,30,2,31,15,0.8
imagery_left_right_fist,csp_lda,0,0,32,15,0.8
imagery_left_right_fist,csp_lda,4,0,32,15,0.8
imagery_left_right_fist,csp_lda,8,0,32,15,0.8
imagery_left_right_fist,csp_lda,16,0,32,15,0.8
imagery_left_right_fist,csp_lda,30,0,32,15,0.8
imagery_left_right_fist,csp_lda,4,1,32,15,0.8
imagery_left_right_fist,csp_lda,8,1,32,15,0.8
imagery_left_right_fist,csp_lda,16,1,32,15,0.8
imagery_left_right_fist,csp_lda,30,1,32,15,0.8
imagery_left_right_fist,csp_lda,4,2,32,15,0.8
imagery_left_right_fist,csp_lda,8,2,32,15,0.8
imagery_left_right_fist,csp_lda,16,2,32,15,0.8
imagery_left_right_fist,csp_lda,30,2,32,15,0.8
imagery_left_right_fist,csp_lda,0,0,35,15,0.533333
imagery_left_right_fist,csp_lda,4,0,35,15,0.533333
imagery_left_right_fist,csp_lda,8,0,35,15,0.533333
imagery_left_right_fist,csp_lda,16,0,35,15,0.533333
imagery_left_right_fist,csp_lda,30,0,35,15,0.533333
imagery_left_right_fist,csp_lda,4,1,35,15,0.533333
imagery_left_right_fist,csp_lda,8,1,35,15,0.533333
imagery_left_right_fist,csp_lda,16,1,35,15,0.533333
imagery_left_right_fist,csp_lda,30,1,35,15,0.533333
imagery_left_right_fist,csp_lda,4,2,35,15,0.533333
imagery_left_right_fist,csp_lda,8,2,35,15,0.533333
imagery_left_right_fist,csp_lda,16,2,35,15,0.533333
imagery_left_right_fist,csp_lda,30,2,35,15,0.533333
imagery_left_right_fist,csp_lda,0,0,37,14,0.5
imagery_left_right_fist,csp_lda,4,0,37,14,0.5
imagery_left_right_fist,csp_lda,8,0,37,14,0.5
imagery_left_right_fist,csp_lda,16,0,37,14,0.5
imagery_left_right_fist,csp_lda,30,0,37,14,0.5
imagery_left_right_fist,csp_lda,4,1,37,14,0.5
imagery_left_right_fist,csp_lda,8,1,37,14,0.5
imagery_left_right_fist,csp_lda,16,1,37,14,0.5
imagery_left_right_fist,csp_lda,30,1,37,14,0.5
imagery_left_right_fist,csp_lda,4,2,37,14,0.5
imagery_left_right_fist,csp_lda,8,2,37,14,0.5
imagery_left_right_fist,csp_lda,16,2,37,14,0.5
imagery_left_right_fist,csp_lda,30,2,37,14,0.5
imagery_left_right_fist,csp_lda,0,0,39,15,0.533333
imagery_left_right_fist,csp_lda,4,0,39,15,0.533333
imagery_left_right_fist,csp_lda,8,0,39,15,0.533333
imagery_left_right_fist,csp_lda,16,0,39,15,0.466667
imagery_left_right_fist,csp_lda,30,0,39,15,0.466667
imagery_left_right_fist,csp_lda,4,1,39,15,0.533333
imagery_left_right_fist,csp_lda,8,1,39,15,0.533333
imagery_left_right_fist,csp_lda,16,1,39,15,0.533333
imagery_left_right_fist,csp_lda,30,1,39,15,0.466667
imagery_left_right_fist,csp_lda,4,2,39,15,0.533333
imagery_left_right_fist,csp_lda,8,2,39,15,0.533333
imagery_left_right_fist,csp_lda,16,2,39,15,0.533333
imagery_left_right_fist,csp_lda,30,2,39,15,0.466667
imagery_left_right_fist,csp_lda,0,0,41,15,0.733333
imagery_left_right_fist,csp_lda,4,0,41,15,0.733333
imagery_left_right_fist,csp_lda,8,0,41,15,0.733333
imagery_left_right_fist,csp_lda,16,0,41,15,0.733333
imagery_left_right_fist,csp_lda,30,0,41,15,0.733333
imagery_left_right_fist,csp_lda,4,1,41,15,0.733333
imagery_left_right_fist,csp_lda,8,1,41,15,0.733333
imagery_left_right_fist,csp_lda,16,1,41,15,0.733333
imagery_left_right_fist,csp_lda,30,1,41,15,0.733333
imagery_left_right_fist,csp_lda,4,2,41,15,0.733333
imagery_left_right_fist,csp_lda,8,2,41,15,0.733333
