dataset,task,model,contrast,protocol_a,protocol_b,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm,family
eegbci,imagery_left_right_fist,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.646735,0.653323,-0.00658852,-0.0160254,0.00302228,2384.5,0.116879,0.163784,44,63,0.350637,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.646735,0.599659,0.0470756,0.0333335,0.0610501,1013,1.97716e-09,9.999e-05,81,28,2.5703e-08,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.666654,0.599659,0.0669945,0.0466808,0.0872348,1044.5,9.88184e-09,9.999e-05,78,29,9.98213e-08,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.747897,0.727318,0.0205794,0.00692797,0.0348593,1593,0.0107273,0.00409959,59,36,0.0643639,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.748113,0.747897,0.000216468,-0.0107035,0.0114256,1701,0.998153,0.971603,41,41,0.998153,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.748113,0.727318,0.0207959,0.00806989,0.0343359,1457.5,0.00792359,0.00289971,54,38,0.0554651,eegbci/imagery_left_right_fist
eegbci,paradigm_mean,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.578532,0.569514,0.00901853,0.00331523,0.0145368,2117,0.00776842,0.00229977,68,41,0.0233053,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.55391,0.578532,-0.024622,-0.030559,-0.0182779,843,7.33734e-11,9.999e-05,27,82,7.33734e-10,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.55391,0.569514,-0.0156035,-0.0196977,-0.011383,859,1.01138e-10,9.999e-05,23,86,9.10238e-10,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.675828,0.569514,0.106314,0.0932105,0.120951,39,3.74354e-19,9.999e-05,103,6,5.24095e-18,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.751785,0.730121,0.0216639,0.0123873,0.0314231,1659.5,8.34766e-05,9.999e-05,68,40,0.000584336,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.74231,0.751785,-0.00947489,-0.0154975,-0.00343337,1974,0.00197164,0.00269973,40,69,0.00788658,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.74231,0.730121,0.012189,0.0031667,0.0210296,2196.5,0.0221245,0.00889911,64,44,0.044249,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.688173,0.620273,0.0679,0.0579289,0.0774284,49,4.9199e-19,9.999e-05,106,3,6.39587e-18,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.685487,0.688173,-0.00268591,-0.00775294,0.00178612,2628,0.263954,0.250575,52,57,0.263954,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.685487,0.620273,0.0652141,0.055831,0.0744755,61,6.81975e-19,9.999e-05,104,5,8.1837e-18,eegbci/paradigm_mean
eegbci,paradigm_mean,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.706965,0.620273,0.0866921,0.0736917,0.100474,181,1.66609e-17,9.999e-05,100,9,1.8327e-16,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.72879,0.701135,0.0276552,0.0198914,0.0355142,1059,1.28672e-08,9.999e-05,82,25,1.02938e-07,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.717698,0.72879,-0.0110918,-0.0179664,-0.00396725,1869.5,0.00153081,0.00269973,39,68,0.00765405,eegbci/paradigm_mean
eegbci,paradigm_mean,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.717698,0.701135,0.0165635,0.00793974,0.025796,1890.5,0.00125456,0.00059994,65,43,0.00752738,eegbci/paradigm_mean
