dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,real_fists_feet,csp_lda,run_disjoint,20260916,run0,3260,1619,0.593252,0.578135
eegbci,real_fists_feet,riemann_ts_lr,run_disjoint,20260916,run0,3260,1619,0.980675,0.731316
eegbci,real_fists_feet,csp_lda,run_disjoint,20260916,run1,3249,1630,0.574023,0.590184
eegbci,real_fists_feet,riemann_ts_lr,run_disjoint,20260916,run1,3249,1630,0.977532,0.760736
eegbci,real_fists_feet,csp_lda,run_disjoint,20260916,run2,3249,1630,0.578332,0.56319
eegbci,real_fists_feet,riemann_ts_lr,run_disjoint,20260916,run2,3249,1630,0.983995,0.725767
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260916,subj0,3229,1650,0.581295,0.589697
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260916,subj0,3229,1650,0.978631,0.655758
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260916,subj1,3262,1617,0.589822,0.550402
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260916,subj1,3262,1617,0.987124,0.651824
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260916,subj2,3267,1612,0.581267,0.574442
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260916,subj2,3267,1612,0.976125,0.652605
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260917,subj0,3208,1671,0.552993,0.563734
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260917,subj0,3208,1671,0.980362,0.672651
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260917,subj1,3285,1594,0.576865,0.550816
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260917,subj1,3285,1594,0.980518,0.667503
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260917,subj2,3265,1614,0.584074,0.589219
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260917,subj2,3265,1614,0.98193,0.640025
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260918,subj0,3217,1662,0.561082,0.591456
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260918,subj0,3217,1662,0.981349,0.675692
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260918,subj1,3282,1597,0.587751,0.561678
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260918,subj1,3282,1597,0.984156,0.639324
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260918,subj2,3259,1620,0.578705,0.58642
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260918,subj2,3259,1620,0.979135,0.633951
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260919,subj0,3226,1653,0.557037,0.603751
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260919,subj0,3226,1653,0.975201,0.672111
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260919,subj1,3258,1621,0.592695,0.556447
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260919,subj1,3258,1621,0.982198,0.647748
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260919,subj2,3274,1605,0.584606,0.571963
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260919,subj2,3274,1605,0.984117,0.642368
eegbci,real_fists_feet,csp_lda,subject_disjoint,20260920,subj0,3226,1653,0.579665,0.572293
eegbci,real_fists_feet,riemann_ts_lr,subject_disjoint,20260920,subj0,3226,1653,0.982641,0.635814
