dataset,task,model,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,5,288,0.506944
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,6,288,0.541667
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,7,288,0.618056
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,8,288,0.930556
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260920,9,288,0.65625
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,1,288,0.791667
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,2,288,0.510417
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,3,288,0.847222
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,4,288,0.65625
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,5,288,0.506944
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,6,288,0.604167
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,7,288,0.680556
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,8,288,0.9375
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,9,288,0.694444
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,1,288,0.788194
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,2,288,0.527778
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,3,288,0.847222
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,4,288,0.649306
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,5,288,0.538194
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,6,288,0.569444
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,7,288,0.645833
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,8,288,0.947917
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,9,288,0.697917
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,1,288,0.815972
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,2,288,0.486111
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,3,288,0.892361
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,4,288,0.597222
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,5,288,0.527778
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,6,288,0.638889
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,7,288,0.586806
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,8,288,0.930556
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,9,288,0.697917
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,1,288,0.784722
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,2,288,0.520833
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,3,288,0.885417
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,4,288,0.652778
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,5,288,0.538194
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,6,288,0.618056
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,7,288,0.631944
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,8,288,0.927083
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,9,288,0.666667
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260920,1,288,0.694444
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260920,2,288,0.524306
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260920,3,288,0.815972
