dataset,task,model,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,3,288,0.940972
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,4,288,0.753472
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,5,288,0.607639
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,6,288,0.697917
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,7,288,0.708333
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,8,288,0.927083
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_6,20260920,9,288,0.802083
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,1,288,0.857639
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,2,288,0.555556
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,3,288,0.909722
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,4,288,0.767361
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,5,288,0.545139
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,6,288,0.746528
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,7,288,0.614583
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,8,288,0.951389
bci2a,bci2a_left_right,riemann_ts_lr,within_session,20260916,9,288,0.802083
