dataset,task,model,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,sess0,1296,1296,1101,195,0.819444,0.753846,0.73071,23,29,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260916,sess1,1296,1296,1101,195,0.777006,0.712821,0.719907,15,21,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,sess0,1296,1296,1101,195,0.560957,0.620513,0.494599,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260917,sess1,1296,1296,1101,195,0.762346,0.74359,0.702932,13,19,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,sess0,1296,1296,1101,195,0.837963,0.748718,0.747685,36,40,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,session_disjoint,20260918,sess1,1296,1296,1101,195,0.825617,0.789744,0.729938,25,31,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso1,2304,288,1728,576,0.682292,0.595486,0.576389,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso2,2304,288,1728,576,0.689236,0.626736,0.513889,7,13,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso3,2304,288,1728,576,0.778212,0.690972,0.829861,19,25,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso4,2304,288,1728,576,0.80816,0.734375,0.586806,19,25,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso5,2304,288,1728,576,0.730903,0.671875,0.496528,8,14,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso6,2304,288,1728,576,0.706163,0.571181,0.697917,8,14,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso7,2304,288,1728,576,0.793403,0.666667,0.541667,17,23,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso8,2304,288,1728,576,0.758681,0.65625,0.809028,21,27,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260916,loso9,2304,288,1728,576,0.686198,0.668403,0.65625,6,12,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso1,2304,288,1728,576,0.77691,0.840278,0.697917,19,25,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso2,2304,288,1728,576,0.801649,0.855903,0.548611,18,24,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso3,2304,288,1728,576,0.745226,0.678819,0.923611,11,17,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso4,2304,288,1728,576,0.796007,0.706597,0.649306,20,26,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso5,2304,288,1728,576,0.787326,0.680556,0.513889,14,20,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso6,2304,288,1728,576,0.741319,0.675347,0.59375,11,17,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,loso,20260917,loso7,2304,288,1728,576,0.788628,0.704861,0.541667,15,21,2450
