task,model,N,d,draw,protocol,mean_acc,n_subjects,n_trials
imagery_left_right_fist,riemann_ts_lr,9,32,6,subject_disjoint,0.611111,9,404
imagery_left_right_fist,riemann_ts_lr,9,128,6,subject_disjoint,0.588833,9,404
imagery_left_right_fist,riemann_ts_lr,9,2080,6,subject_disjoint,0.611167,9,404
imagery_left_right_fist,csp_lda,9,6,6,subject_disjoint,0.589226,9,404
imagery_left_right_fist,riemann_ts_lr,9,8,7,trial_random,0.464198,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,7,trial_random,0.602469,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,7,trial_random,0.614815,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,7,trial_random,0.622222,9,405
imagery_left_right_fist,csp_lda,9,6,7,trial_random,0.45679,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,7,subject_disjoint,0.511111,9,405
imagery_left_right_fist,riemann_ts_lr,9,32,7,subject_disjoint,0.528395,9,405
imagery_left_right_fist,riemann_ts_lr,9,128,7,subject_disjoint,0.533333,9,405
imagery_left_right_fist,riemann_ts_lr,9,2080,7,subject_disjoint,0.528395,9,405
imagery_left_right_fist,csp_lda,9,6,7,subject_disjoint,0.516049,9,405
imagery_left_right_fist,riemann_ts_lr,9,8,8,trial_random,0.417813,9,402
imagery_left_right_fist,riemann_ts_lr,9,32,8,trial_random,0.640035,9,402
imagery_left_right_fist,riemann_ts_lr,9,128,8,trial_random,0.694004,9,402
imagery_left_right_fist,riemann_ts_lr,9,2080,8,trial_random,0.673721,9,402
imagery_left_right_fist,csp_lda,9,6,8,trial_random,0.587125,9,402
imagery_left_right_fist,riemann_ts_lr,9,8,8,subject_disjoint,0.497531,9,402
imagery_left_right_fist,riemann_ts_lr,9,32,8,subject_disjoint,0.588889,9,402
imagery_left_right_fist,riemann_ts_lr,9,128,8,subject_disjoint,0.631922,9,402
imagery_left_right_fist,riemann_ts_lr,9,2080,8,subject_disjoint,0.61358,9,402
imagery_left_right_fist,csp_lda,9,6,8,subject_disjoint,0.579365,9,402
imagery_left_right_fist,riemann_ts_lr,9,8,9,trial_random,0.437566,9,402
imagery_left_right_fist,riemann_ts_lr,9,32,9,trial_random,0.585714,9,402
imagery_left_right_fist,riemann_ts_lr,9,128,9,trial_random,0.643563,9,402
imagery_left_right_fist,riemann_ts_lr,9,2080,9,trial_random,0.670899,9,402
imagery_left_right_fist,csp_lda,9,6,9,trial_random,0.495414,9,402
imagery_left_right_fist,riemann_ts_lr,9,8,9,subject_disjoint,0.512346,9,402
imagery_left_right_fist,riemann_ts_lr,9,32,9,subject_disjoint,0.543739,9,402
imagery_left_right_fist,riemann_ts_lr,9,128,9,subject_disjoint,0.549383,9,402
imagery_left_right_fist,riemann_ts_lr,9,2080,9,subject_disjoint,0.559259,9,402
imagery_left_right_fist,csp_lda,9,6,9,subject_disjoint,0.516931,9,402
imagery_left_right_fist,riemann_ts_lr,18,8,0,trial_random,0.436169,18,812
imagery_left_right_fist,riemann_ts_lr,18,32,0,trial_random,0.591365,18,812
imagery_left_right_fist,riemann_ts_lr,18,128,0,trial_random,0.631075,18,812
imagery_left_right_fist,riemann_ts_lr,18,512,0,trial_random,0.610201,18,812
imagery_left_right_fist,riemann_ts_lr,18,2080,0,trial_random,0.604857,18,812
imagery_left_right_fist,csp_lda,18,6,0,trial_random,0.500903,18,812
imagery_left_right_fist,riemann_ts_lr,18,8,0,subject_disjoint,0.495647,18,812
imagery_left_right_fist,riemann_ts_lr,18,32,0,subject_disjoint,0.585051,18,812
imagery_left_right_fist,riemann_ts_lr,18,128,0,subject_disjoint,0.588499,18,812
imagery_left_right_fist,riemann_ts_lr,18,512,0,subject_disjoint,0.590019,18,812
imagery_left_right_fist,riemann_ts_lr,18,2080,0,subject_disjoint,0.583105,18,812
imagery_left_right_fist,csp_lda,18,6,0,subject_disjoint,0.555504,18,812
imagery_left_right_fist,riemann_ts_lr,18,8,1,trial_random,0.463255,18,819
imagery_left_right_fist,riemann_ts_lr,18,32,1,trial_random,0.506136,18,819
imagery_left_right_fist,riemann_ts_lr,18,128,1,trial_random,0.637914,18,819
imagery_left_right_fist,riemann_ts_lr,18,512,1,trial_random,0.631379,18,819
imagery_left_right_fist,riemann_ts_lr,18,2080,1,trial_random,0.630317,18,819
imagery_left_right_fist,csp_lda,18,6,1,trial_random,0.503759,18,819
imagery_left_right_fist,riemann_ts_lr,18,8,1,subject_disjoint,0.507895,18,819
imagery_left_right_fist,riemann_ts_lr,18,32,1,subject_disjoint,0.567159,18,819
imagery_left_right_fist,riemann_ts_lr,18,128,1,subject_disjoint,0.587733,18,819
imagery_left_right_fist,riemann_ts_lr,18,512,1,subject_disjoint,0.57768,18,819
imagery_left_right_fist,riemann_ts_lr,18,2080,1,subject_disjoint,0.572742,18,819
imagery_left_right_fist,csp_lda,18,6,1,subject_disjoint,0.514068,18,819
imagery_left_right_fist,riemann_ts_lr,18,8,2,trial_random,0.474394,18,816
imagery_left_right_fist,riemann_ts_lr,18,32,2,trial_random,0.567794,18,816
imagery_left_right_fist,riemann_ts_lr,18,128,2,trial_random,0.612833,18,816
imagery_left_right_fist,riemann_ts_lr,18,512,2,trial_random,0.606785,18,816
imagery_left_right_fist,riemann_ts_lr,18,2080,2,trial_random,0.616667,18,816
imagery_left_right_fist,csp_lda,18,6,2,trial_random,0.556057,18,816
imagery_left_right_fist,riemann_ts_lr,18,8,2,subject_disjoint,0.500223,18,816
imagery_left_right_fist,riemann_ts_lr,18,32,2,subject_disjoint,0.568746,18,816
imagery_left_right_fist,riemann_ts_lr,18,128,2,subject_disjoint,0.571953,18,816
imagery_left_right_fist,riemann_ts_lr,18,512,2,subject_disjoint,0.568686,18,816
imagery_left_right_fist,riemann_ts_lr,18,2080,2,subject_disjoint,0.553435,18,816
imagery_left_right_fist,csp_lda,18,6,2,subject_disjoint,0.57484,18,816
imagery_left_right_fist,riemann_ts_lr,18,8,3,trial_random,0.451742,18,801
