dataset,task,model,contrast,protocol_a,protocol_b,n,mean_a,mean_b,mean_diff,ci_low,ci_high,wilcoxon_W,p_wilcoxon,p_signflip,n_positive,n_negative,p_holm,family
eegbci,imagery_fists_feet,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.60073,0.592643,0.00808653,-0.00140766,0.0171465,2172.5,0.12963,0.0919908,55,47,0.907411,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.582366,0.60073,-0.0183639,-0.0270129,-0.0101616,1786.5,0.000251038,9.999e-05,41,68,0.00451868,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.582366,0.592643,-0.0102773,-0.0184691,-0.00194364,2294,0.046667,0.0161984,48,60,0.373336,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.667316,0.592643,0.0746726,0.0542553,0.0962112,1001,1.58035e-09,9.999e-05,85,24,3.79284e-08,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.578732,0.573328,0.00540389,-0.00419348,0.0158331,2666,0.39585,0.292371,63,45,1,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.555773,0.578732,-0.0229594,-0.0349779,-0.0117176,1822.5,0.000917362,0.00039996,43,64,0.0128431,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.555773,0.573328,-0.0175555,-0.0274824,-0.00810153,1773.5,0.000526201,0.00059994,35,72,0.00841921,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4,subject_overlap_component,run_disjoint,subject_disjoint,109,0.68251,0.657376,0.0251336,0.0132718,0.0378311,1661.5,0.000215181,9.999e-05,68,38,0.00408844,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4,run_temporal_component,trial_random,run_disjoint,109,0.686547,0.68251,0.00403706,-0.00332216,0.0114038,2520.5,0.252052,0.277172,55,52,1,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4,delta_leak_original_definition,trial_random,subject_disjoint,109,0.686547,0.657376,0.0291706,0.0185141,0.0404717,1286,2.82989e-06,9.999e-05,71,33,5.94276e-05,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4,calibration_gap,within_subject,subject_disjoint,109,0.536928,0.657376,-0.120448,-0.141767,-0.0989359,448,1.27912e-14,9.999e-05,16,93,3.58153e-13,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.664093,0.644179,0.0199142,0.00481586,0.0358617,1594.5,0.0338747,0.0154985,55,37,0.304872,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.655465,0.664093,-0.00862746,-0.0218928,0.00605568,1868.5,0.22424,0.229477,43,50,1,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.655465,0.644179,0.0112868,-0.0058248,0.0299918,2005.5,0.307925,0.221278,54,41,1,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.644013,0.587492,0.0565205,0.0422446,0.0717053,827,8.82115e-11,9.999e-05,83,25,2.20529e-09,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.631104,0.644013,-0.0129085,-0.0218054,-0.00370745,2057.5,0.00448474,0.00619938,42,67,0.0448474,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.631104,0.587492,0.043612,0.0299226,0.0582364,1206,1.01395e-07,9.999e-05,80,28,2.33209e-06,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.696448,0.587492,0.108956,0.0884607,0.130121,489.5,3.39378e-14,9.999e-05,92,17,9.16321e-13,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.645379,0.582402,0.0629767,0.0481275,0.0773415,712,8.00957e-12,9.999e-05,85,23,2.08249e-10,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.61748,0.645379,-0.0278982,-0.0366654,-0.019087,1295.5,2.66646e-07,9.999e-05,35,74,5.86622e-06,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.61748,0.582402,0.0350785,0.0220299,0.0485143,1518,7.71437e-06,9.999e-05,70,39,0.000154287,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp,subject_overlap_component,run_disjoint,subject_disjoint,109,0.645871,0.629203,0.016668,0.00671518,0.0269972,1806,0.00179695,0.0019998,62,43,0.0215634,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp,run_temporal_component,trial_random,run_disjoint,109,0.649199,0.645871,0.00332759,-0.00554581,0.0119707,2528,0.512417,0.461554,54,50,1,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp,delta_leak_original_definition,trial_random,subject_disjoint,109,0.649199,0.629203,0.0199956,0.0101592,0.0303554,1738,0.000346987,0.00029997,65,42,0.00589878,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp,calibration_gap,within_subject,subject_disjoint,109,0.587341,0.629203,-0.0418624,-0.0635208,-0.0204133,1868,0.000983943,0.00039996,37,71,0.0128431,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.662176,0.630792,0.0313839,0.0128709,0.0495342,1443.5,0.000781677,0.00139986,65,32,0.0117252,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.641495,0.662176,-0.0206811,-0.035413,-0.00624705,1463.5,0.00242376,0.00679932,38,57,0.0266614,eegbci/imagery_fists_feet
eegbci,imagery_fists_feet,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.641495,0.630792,0.0107028,-0.00876518,0.0300057,1968.5,0.319327,0.293971,49,45,1,eegbci/imagery_fists_feet
eegbci,imagery_left_right_fist,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.608901,0.597303,0.0115975,0.00150115,0.0227901,2186.5,0.0567389,0.030497,54,51,0.558749,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.564298,0.608901,-0.0446027,-0.0568601,-0.0318683,967,1.38909e-09,9.999e-05,21,87,3.61163e-08,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.564298,0.597303,-0.0330053,-0.0424937,-0.023357,952,8.12811e-09,9.999e-05,28,76,1.95075e-07,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.621167,0.597303,0.0238639,0.00462933,0.0446031,2236,0.0588151,0.0229977,60,46,0.558749,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.591551,0.58881,0.00274092,-0.00668215,0.0132297,2571,0.724819,0.590941,52,51,1,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.574862,0.591551,-0.0166898,-0.0268125,-0.006524,1960.5,0.00390413,0.00119988,40,67,0.0546578,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.574862,0.58881,-0.0139488,-0.0208412,-0.00712788,1599.5,9.78347e-05,0.00059994,38,68,0.00156536,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4,subject_overlap_component,run_disjoint,subject_disjoint,109,0.806396,0.799095,0.00730136,-0.000447018,0.0147346,2211,0.0489984,0.0610939,64,42,0.538982,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4,run_temporal_component,trial_random,run_disjoint,109,0.807381,0.806396,0.000985275,-0.0054879,0.00686356,2342,0.529158,0.754525,52,48,1,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4,delta_leak_original_definition,trial_random,subject_disjoint,109,0.807381,0.799095,0.00828663,0.00119103,0.0154856,2184.5,0.0558749,0.0278972,60,45,0.558749,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4,calibration_gap,within_subject,subject_disjoint,109,0.518856,0.799095,-0.280239,-0.301497,-0.259152,1,1.31395e-19,9.999e-05,1,108,3.67905e-18,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.818795,0.810444,0.00835154,-0.00325172,0.0202346,1825,0.124059,0.169983,56,38,0.818153,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.788083,0.818795,-0.0307121,-0.0417245,-0.0194938,834,6.09653e-07,9.999e-05,22,69,1.15834e-05,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,eegnet_v4_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.788083,0.810444,-0.0223605,-0.0352483,-0.00913864,1268,0.00108442,0.00109989,32,59,0.0162663,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_overlap_component,run_disjoint,subject_disjoint,109,0.653323,0.599659,0.0536641,0.0373146,0.0697981,1068,9.07466e-09,9.999e-05,79,29,2.08717e-07,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr,run_temporal_component,trial_random,run_disjoint,109,0.646735,0.653323,-0.00658852,-0.0160254,0.00302228,2384.5,0.116879,0.163784,44,63,0.818153,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr,delta_leak_original_definition,trial_random,subject_disjoint,109,0.646735,0.599659,0.0470756,0.0333335,0.0610501,1013,1.97716e-09,9.999e-05,81,28,4.94289e-08,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr,calibration_gap,within_subject,subject_disjoint,109,0.666654,0.599659,0.0669945,0.0466808,0.0872348,1044.5,9.88184e-09,9.999e-05,78,29,2.174e-07,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.628259,0.587703,0.0405558,0.0244746,0.0552003,1415,2.8189e-06,9.999e-05,75,33,5.07403e-05,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.624131,0.628259,-0.00412801,-0.0148426,0.00643055,2612,0.310307,0.454155,47,61,1,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,riemann_ts_lr_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.624131,0.587703,0.0364278,0.0241199,0.0488722,1325,4.27111e-07,9.999e-05,74,35,8.54222e-06,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp,subject_overlap_component,run_disjoint,subject_disjoint,109,0.736989,0.714855,0.0221334,0.0146609,0.0303262,1226,3.9082e-07,9.999e-05,75,31,8.20721e-06,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp,run_temporal_component,trial_random,run_disjoint,109,0.732696,0.736989,-0.00429307,-0.012192,0.00364478,2404.5,0.458616,0.311669,46,56,1,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp,delta_leak_original_definition,trial_random,subject_disjoint,109,0.732696,0.714855,0.0178403,0.00988216,0.0263307,1513.5,1.90527e-05,9.999e-05,72,35,0.000323896,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp,calibration_gap,within_subject,subject_disjoint,109,0.555926,0.714855,-0.158929,-0.18007,-0.137052,136,5.10176e-18,9.999e-05,9,100,1.37748e-16,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp_globalscale,subject_overlap_component,run_disjoint,subject_disjoint,109,0.747897,0.727318,0.0205794,0.00692797,0.0348593,1593,0.0107273,0.00409959,59,36,0.128728,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp_globalscale,run_temporal_component,trial_random,run_disjoint,109,0.748113,0.747897,0.000216468,-0.0107035,0.0114256,1701,0.998153,0.971603,41,41,1,eegbci/imagery_left_right_fist
eegbci,imagery_left_right_fist,shallow_fbcsp_globalscale,delta_leak_original_definition,trial_random,subject_disjoint,109,0.748113,0.727318,0.0207959,0.00806989,0.0343359,1457.5,0.00792359,0.00289971,54,38,0.103007,eegbci/imagery_left_right_fist
eegbci,paradigm_mean,csp_lda,subject_overlap_component,run_disjoint,subject_disjoint,109,0.578532,0.569514,0.00901853,0.00331523,0.0145368,2117,0.00776842,0.00229977,68,41,0.0466105,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda,run_temporal_component,trial_random,run_disjoint,109,0.55391,0.578532,-0.024622,-0.030559,-0.0182779,843,7.33734e-11,9.999e-05,27,82,1.17397e-09,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda,delta_leak_original_definition,trial_random,subject_disjoint,109,0.55391,0.569514,-0.0156035,-0.0196977,-0.011383,859,1.01138e-10,9.999e-05,23,86,1.51706e-09,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda,calibration_gap,within_subject,subject_disjoint,109,0.675828,0.569514,0.106314,0.0932105,0.120951,39,3.74354e-19,9.999e-05,103,6,1.01076e-17,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda_ztrial,subject_overlap_component,run_disjoint,subject_disjoint,109,0.587837,0.584233,0.0036036,-0.00151614,0.008976,2648,0.290682,0.178082,60,49,0.791863,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda_ztrial,run_temporal_component,trial_random,run_disjoint,109,0.567879,0.587837,-0.0199576,-0.0256703,-0.0143885,961,7.42057e-10,9.999e-05,25,84,9.64674e-09,eegbci/paradigm_mean
eegbci,paradigm_mean,csp_lda_ztrial,delta_leak_original_definition,trial_random,subject_disjoint,109,0.567879,0.584233,-0.016354,-0.0205953,-0.012187,944.5,5.40896e-10,9.999e-05,28,81,7.57254e-09,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4,subject_overlap_component,run_disjoint,subject_disjoint,109,0.750169,0.726499,0.0236695,0.0176843,0.0295877,802,3.18854e-11,9.999e-05,90,19,5.42052e-10,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4,run_temporal_component,trial_random,run_disjoint,109,0.754019,0.750169,0.00384987,-0.000156043,0.00770982,2382.5,0.08579,0.050095,60,48,0.34316,eegbci/paradigm_mean
eegbci,paradigm_mean,eegnet_v4,delta_leak_original_definition,trial_random,subject_disjoint,109,0.754019,0.726499,0.0275194,0.021891,0.0329782,536,9.93572e-14,9.999e-05,89,20,1.98714e-12,eegbci/paradigm_mean
