task,C,acc_trial_random,acc_trial_random_ci_low,acc_trial_random_ci_high,acc_run_disjoint,acc_run_disjoint_ci_low,acc_run_disjoint_ci_high,acc_subject_disjoint,acc_subject_disjoint_ci_low,acc_subject_disjoint_ci_high,d12_mean,d12_ci_low,d12_ci_high,d12_p,d02_mean,d02_ci_low,d02_ci_high,d02_p,n
real_fists_feet,0.01,0.737744,0.711181,0.76493,0.750053,0.72455,0.775984,0.669845,0.64584,0.696149,0.0802074,0.0646018,0.0965387,4.02327e-14,0.0678992,0.0525664,0.0842265,8.44957e-12,109
real_fists_feet,0.1,0.773827,0.746665,0.800472,0.766721,0.742028,0.791339,0.66859,0.645037,0.693429,0.0981305,0.080108,0.116367,1.11803e-15,0.105237,0.0868176,0.12405,4.45977e-17,109
real_fists_feet,1.0,0.751188,0.726227,0.775259,0.74506,0.720813,0.770136,0.653214,0.631227,0.676013,0.0918462,0.0742542,0.110033,1.09095e-15,0.0979744,0.0810586,0.114266,1.40548e-17,109
real_fists_feet,10.0,0.730556,0.706842,0.754635,0.728128,0.703087,0.752631,0.641347,0.621334,0.661773,0.0867813,0.0704237,0.103935,5.49118e-15,0.0892095,0.0740315,0.104333,1.66567e-17,109
real_fists_feet,100.0,0.727086,0.703404,0.750398,0.725069,0.699682,0.749971,0.640192,0.620446,0.660237,0.0848768,0.0689671,0.101448,2.59371e-14,0.0868937,0.072396,0.101166,6.0589e-18,109
real_fists_feet,1000.0,0.736193,0.712422,0.760029,0.737071,0.712848,0.760997,0.644116,0.623883,0.665082,0.0929548,0.0761911,0.110754,1.18336e-15,0.0920765,0.0763091,0.108282,1.01261e-17,109
real_fists_feet,spearman_d12_vs_x,,,,,,,,,,0.666667,,,0.0709877,,,,,8
real_left_right_fist,0.0001,0.531334,0.521425,0.542129,0.603764,0.585072,0.623911,0.602131,0.584298,0.62064,0.00163276,-0.00843365,0.0120256,0.489454,-0.0707975,-0.0855372,-0.0556217,1.5494e-13,109
real_left_right_fist,0.001,0.596978,0.581363,0.613593,0.640911,0.619924,0.66215,0.621064,0.60045,0.640244,0.0198467,0.00998965,0.0299962,0.000452941,-0.0240864,-0.034863,-0.0125665,0.000187055,109
real_left_right_fist,0.01,0.689062,0.665761,0.710345,0.711593,0.688274,0.733989,0.654956,0.632052,0.677559,0.056637,0.0403732,0.073936,6.07758e-09,0.0341059,0.0192698,0.050558,0.000548184,109
real_left_right_fist,0.1,0.730854,0.708318,0.752289,0.733273,0.71089,0.754252,0.657341,0.636312,0.679023,0.0759323,0.0581293,0.0943202,6.12692e-12,0.0735126,0.0554993,0.0931193,5.93101e-12,109
real_left_right_fist,1.0,0.712923,0.69305,0.731729,0.710297,0.690284,0.729261,0.640728,0.62224,0.658957,0.0695694,0.0537836,0.0856455,1.90613e-12,0.0721944,0.0575603,0.0879444,1.42851e-15,109
real_left_right_fist,10.0,0.689926,0.671181,0.707888,0.689117,0.670115,0.706992,0.627128,0.610772,0.643875,0.0619894,0.0474381,0.0769357,1.71653e-11,0.0627984,0.0496931,0.0768721,2.74878e-14,109
real_left_right_fist,100.0,0.685657,0.667652,0.703282,0.681697,0.662848,0.69885,0.62461,0.60872,0.640519,0.0570866,0.0427928,0.0719834,2.00511e-10,0.0610464,0.0483777,0.0750396,9.78429e-14,109
real_left_right_fist,1000.0,0.696423,0.678283,0.713604,0.695208,0.675811,0.713338,0.627937,0.611064,0.644556,0.0672709,0.0522985,0.0827641,7.35372e-13,0.0684861,0.0548308,0.0828726,9.21348e-16,109
real_left_right_fist,spearman_d12_vs_x,,,,,,,,,,0.595238,,,0.11953,,,,,8
