dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,trial0,1296,1296,0.705247,0.699846
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,trial0,1296,1296,0.844136,0.753858
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260916,trial1,1296,1296,0.70216,0.684414
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260916,trial1,1296,1296,0.839506,0.756944
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,trial0,1296,1296,0.709877,0.699846
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,trial0,1296,1296,0.824846,0.763117
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260917,trial1,1296,1296,0.716821,0.680556
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260917,trial1,1296,1296,0.839506,0.746914
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,trial0,1296,1296,0.701389,0.697531
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,trial0,1296,1296,0.844907,0.739198
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260918,trial1,1296,1296,0.721451,0.674383
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260918,trial1,1296,1296,0.839506,0.733025
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,trial0,1296,1296,0.712191,0.683642
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,trial0,1296,1296,0.834105,0.767747
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260919,trial1,1296,1296,0.701389,0.699846
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260919,trial1,1296,1296,0.825617,0.756944
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260920,trial0,1296,1296,0.723765,0.715278
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,trial0,1296,1296,0.824074,0.76466
bci2a,bci2a_left_right,csp_lda,trial_random_2,20260920,trial1,1296,1296,0.660494,0.641204
bci2a,bci2a_left_right,riemann_ts_lr,trial_random_2,20260920,trial1,1296,1296,0.83642,0.760031
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,run0,2160,432,0.699074,0.722222
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,20260916,run0,2160,432,0.806481,0.787037
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,run1,2160,432,0.711574,0.703704
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,20260916,run1,2160,432,0.821759,0.759259
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,run2,2160,432,0.714815,0.740741
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,20260916,run2,2160,432,0.814815,0.773148
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,run3,2160,432,0.711111,0.680556
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,20260916,run3,2160,432,0.809722,0.756944
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,run4,2160,432,0.706019,0.694444
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,20260916,run4,2160,432,0.815741,0.747685
bci2a,bci2a_left_right,csp_lda,run_disjoint,20260916,run5,2160,432,0.711574,0.699074
bci2a,bci2a_left_right,riemann_ts_lr,run_disjoint,20260916,run5,2160,432,0.823148,0.715278
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,sess0,1296,1296,0.684414,0.652778
bci2a,bci2a_left_right,riemann_ts_lr,session_disjoint,20260916,sess0,1296,1296,0.863426,0.689815
bci2a,bci2a_left_right,csp_lda,session_disjoint,20260916,sess1,1296,1296,0.713735,0.709877
bci2a,bci2a_left_right,riemann_ts_lr,session_disjoint,20260916,sess1,1296,1296,0.814043,0.699074
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso1,2304,288,0.692708,0.659722
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso1,2304,288,0.807292,0.815972
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso2,2304,288,0.732639,0.541667
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso2,2304,288,0.835938,0.513889
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso3,2304,288,0.698785,0.746528
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso3,2304,288,0.803385,0.819444
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso4,2304,288,0.710069,0.666667
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso4,2304,288,0.819444,0.565972
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso5,2304,288,0.724826,0.541667
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso5,2304,288,0.832031,0.506944
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso6,2304,288,0.703993,0.541667
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso6,2304,288,0.826389,0.65625
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso7,2304,288,0.717882,0.611111
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso7,2304,288,0.825955,0.611111
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso8,2304,288,0.639323,0.895833
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso8,2304,288,0.803819,0.763889
bci2a,bci2a_left_right,csp_lda,loso,20260916,loso9,2304,288,0.71875,0.701389
bci2a,bci2a_left_right,riemann_ts_lr,loso,20260916,loso9,2304,288,0.817274,0.673611
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,subj0,2016,576,0.693948,0.65625
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,subj0,2016,576,0.811012,0.722222
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,subj1,2016,576,0.734623,0.616319
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,subj1,2016,576,0.850198,0.553819
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,subj2,2016,576,0.738591,0.564236
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,subj2,2016,576,0.854663,0.5625
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,subj3,2016,576,0.712798,0.689236
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,subj3,2016,576,0.811012,0.751736
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260916,subj4,2304,288,0.639323,0.895833
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260916,subj4,2304,288,0.803819,0.763889
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,subj0,2016,576,0.706845,0.725694
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,subj0,2016,576,0.808036,0.758681
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,subj1,2016,576,0.72371,0.522569
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,subj1,2016,576,0.839286,0.536458
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,subj2,2016,576,0.723214,0.578125
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,subj2,2016,576,0.824405,0.652778
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,subj3,2016,576,0.746032,0.602431
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,subj3,2016,576,0.84871,0.621528
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260917,subj4,2304,288,0.639323,0.895833
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260917,subj4,2304,288,0.803819,0.763889
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,subj0,2016,576,0.661706,0.715278
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,subj0,2016,576,0.829365,0.651042
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,subj1,2016,576,0.693948,0.65625
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,subj1,2016,576,0.811012,0.722222
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,subj2,2016,576,0.728175,0.668403
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,subj2,2016,576,0.832837,0.619792
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,subj3,2016,576,0.734623,0.616319
bci2a,bci2a_left_right,riemann_ts_lr,subject_disjoint_5,20260918,subj3,2016,576,0.850198,0.553819
bci2a,bci2a_left_right,csp_lda,subject_disjoint_5,20260918,subj4,2304,288,0.692708,0.659722
